Button ID,x0,y0,x1,y1,Parent ID,xp,yp,zp,q1,q2,q3,q4,X,
9,10,25,-10,-60,305,14.6,195,-15,1,0,0,0,12,A4
11,10,25,-10,-60,305,-9.266666667,195,-15,1,0,0,0,13,B4
12,10,25,-10,-60,305,-33.13333333,195,-15,1,0,0,0,14,C5
-11,5,40,-5,-60,305,298.8333333,130,-5,1,0,0,0,1,C3#
-9,5,40,-5,-60,305,274.6666667,130,-5,1,0,0,0,2,D3#
-6,5,40,-5,-60,305,226.3333333,130,-5,1,0,0,0,4,F3#
-4,5,40,-5,-60,305,202.1666667,130,-5,1,0,0,0,5,G3#
-2,5,40,-5,-60,305,178,130,-5,1,0,0,0,6,A3#
1,5,40,-5,-60,305,129.6666667,130,-5,1,0,0,0,8,C4#
3,5,40,-5,-60,305,105.5,130,-5,1,0,0,0,9,D4#
6,5,40,-5,-60,305,57.16666667,130,-5,1,0,0,0,11,F4#
8,5,40,-5,-60,305,33,130,-5,1,0,0,0,12,G4#
10,5,40,-5,-60,305,8.833333333,130,-5,1,0,0,0,13,A4#
0,11,54,-11,-54,311,13,89,0,1,0,0,0,,
2,11,54,-11,-54,311,-9.66666666666667,89,0,1,0,0,0,,
4,11,54,-11,-54,311,-32.3333333333333,89,0,1,0,0,0,,
5,11,54,-11,-54,311,-55,89,0,1,0,0,0,,
7,11,54,-11,-54,311,-77.6666666666667,89,0,1,0,0,0,,
9,11,54,-11,-54,311,-100.333333333333,89,0,1,0,0,0,,
11,11,54,-11,-54,311,-123,89,0,1,0,0,0,,
0,11,54,-11,-54,310,13,-88,0,1,0,0,0,,
2,11,54,-11,-54,310,-9.66666666666667,-88,0,1,0,0,0,,
4,11,54,-11,-54,310,-32.3333333333333,-88,0,1,0,0,0,,
5,11,54,-11,-54,310,-55,-88,0,1,0,0,0,,
7,11,54,-11,-54,310,-77.6666666666667,-88,0,1,0,0,0,,
9,11,54,-11,-54,310,-100.333333333333,-88,0,1,0,0,0,,
11,11,54,-11,-54,310,-123,-88,0,1,0,0,0,,
